0.000040	0.000052	0.000063	0.000075	0.000086	0.000098	0.000109	0.000120	0.000132	0.000143	0.000153	0.000164	0.000174	0.000185	0.000194	0.000204	0.000213	0.000222	0.000230	0.000237	0.000243	0.000249	0.000253	0.000256	0.000258	0.000259	0.000258	0.000256	0.000253	0.000249	0.000243	0.000237	0.000230	0.000222	0.000213	0.000204	0.000194	0.000185	0.000174	0.000164	0.000153	0.000143	0.000132	0.000120	0.000109	0.000098	0.000086	0.000075	0.000063	0.000052	0.000040	
0.000052	0.000067	0.000082	0.000097	0.000112	0.000126	0.000141	0.000156	0.000170	0.000184	0.000198	0.000212	0.000226	0.000239	0.000252	0.000264	0.000276	0.000287	0.000297	0.000307	0.000315	0.000322	0.000328	0.000332	0.000335	0.000335	0.000335	0.000332	0.000328	0.000322	0.000315	0.000307	0.000297	0.000287	0.000276	0.000264	0.000252	0.000239	0.000226	0.000212	0.000198	0.000184	0.000170	0.000156	0.000141	0.000126	0.000112	0.000097	0.000082	0.000067	0.000052	
0.000063	0.000082	0.000100	0.000119	0.000137	0.000155	0.000173	0.000191	0.000209	0.000226	0.000243	0.000260	0.000277	0.000293	0.000309	0.000324	0.000339	0.000353	0.000366	0.000377	0.000388	0.000397	0.000404	0.000409	0.000412	0.000413	0.000412	0.000409	0.000404	0.000397	0.000388	0.000377	0.000366	0.000353	0.000339	0.000324	0.000309	0.000293	0.000277	0.000260	0.000243	0.000226	0.000209	0.000191	0.000173	0.000155	0.000137	0.000119	0.000100	0.000082	0.000063	
0.000075	0.000097	0.000119	0.000140	0.000162	0.000183	0.000205	0.000226	0.000247	0.000268	0.000288	0.000308	0.000328	0.000348	0.000367	0.000385	0.000403	0.000419	0.000435	0.000449	0.000462	0.000473	0.000481	0.000488	0.000492	0.000493	0.000492	0.000488	0.000481	0.000473	0.000462	0.000449	0.000435	0.000419	0.000403	0.000385	0.000367	0.000348	0.000328	0.000308	0.000288	0.000268	0.000247	0.000226	0.000205	0.000183	0.000162	0.000140	0.000119	0.000097	0.000075	
0.000086	0.000112	0.000137	0.000162	0.000187	0.000212	0.000237	0.000261	0.000285	0.000309	0.000333	0.000357	0.000380	0.000403	0.000425	0.000447	0.000467	0.000487	0.000506	0.000522	0.000538	0.000551	0.000561	0.000569	0.000573	0.000575	0.000573	0.000569	0.000561	0.000551	0.000538	0.000522	0.000506	0.000487	0.000467	0.000447	0.000425	0.000403	0.000380	0.000357	0.000333	0.000309	0.000285	0.000261	0.000237	0.000212	0.000187	0.000162	0.000137	0.000112	0.000086	
0.000098	0.000126	0.000155	0.000183	0.000212	0.000240	0.000268	0.000296	0.000324	0.000351	0.000378	0.000405	0.000432	0.000458	0.000484	0.000509	0.000533	0.000556	0.000578	0.000598	0.000616	0.000631	0.000644	0.000653	0.000658	0.000660	0.000658	0.000653	0.000644	0.000631	0.000616	0.000598	0.000578	0.000556	0.000533	0.000509	0.000484	0.000458	0.000432	0.000405	0.000378	0.000351	0.000324	0.000296	0.000268	0.000240	0.000212	0.000183	0.000155	0.000126	0.000098	
0.000109	0.000141	0.000173	0.000205	0.000237	0.000268	0.000300	0.000331	0.000362	0.000393	0.000424	0.000454	0.000484	0.000514	0.000543	0.000572	0.000600	0.000627	0.000652	0.000676	0.000697	0.000715	0.000730	0.000741	0.000748	0.000750	0.000748	0.000741	0.000730	0.000715	0.000697	0.000676	0.000652	0.000627	0.000600	0.000572	0.000543	0.000514	0.000484	0.000454	0.000424	0.000393	0.000362	0.000331	0.000300	0.000268	0.000237	0.000205	0.000173	0.000141	0.000109	
0.000120	0.000156	0.000191	0.000226	0.000261	0.000296	0.000331	0.000366	0.000400	0.000435	0.000469	0.000503	0.000537	0.000571	0.000604	0.000637	0.000669	0.000700	0.000730	0.000758	0.000783	0.000805	0.000822	0.000835	0.000843	0.000846	0.000843	0.000835	0.000822	0.000805	0.000783	0.000758	0.000730	0.000700	0.000669	0.000637	0.000604	0.000571	0.000537	0.000503	0.000469	0.000435	0.000400	0.000366	0.000331	0.000296	0.000261	0.000226	0.000191	0.000156	0.000120	
0.000132	0.000170	0.000209	0.000247	0.000285	0.000324	0.000362	0.000400	0.000438	0.000476	0.000514	0.000553	0.000591	0.000629	0.000666	0.000704	0.000741	0.000778	0.000813	0.000846	0.000876	0.000902	0.000923	0.000939	0.000948	0.000952	0.000948	0.000939	0.000923	0.000902	0.000876	0.000846	0.000813	0.000778	0.000741	0.000704	0.000666	0.000629	0.000591	0.000553	0.000514	0.000476	0.000438	0.000400	0.000362	0.000324	0.000285	0.000247	0.000209	0.000170	0.000132	
0.000143	0.000184	0.000226	0.000268	0.000309	0.000351	0.000393	0.000435	0.000476	0.000518	0.000560	0.000609	0.000683	0.000744	0.000787	0.000803	0.000817	0.000861	0.000955	0.001003	0.000997	0.001093	0.001124	0.001134	0.001178	0.001148	0.001178	0.001134	0.001124	0.001093	0.000997	0.001003	0.000955	0.000861	0.000817	0.000803	0.000787	0.000744	0.000683	0.000609	0.000560	0.000518	0.000476	0.000435	0.000393	0.000351	0.000309	0.000268	0.000226	0.000184	0.000143	
